road_id,MAE,RMSE,MAPE,R2
NL-001,44.84319234665652,63.81033412755435,11.760828088901446,0.9444447432447958
NL-002,55.753478325737845,77.64649363570189,11.216308547725117,0.9465131880518453
NL-003,43.728338500363144,59.93545370456653,12.614392980952886,0.9371122456881612
NL-004,57.091701112192304,77.2309581531573,12.512365161295527,0.93923451722471
NL-005,49.52271786874186,68.91318987272997,10.483944610496353,0.9457841806399746
NL-006,57.806986812893435,82.58146895831713,11.18651402453137,0.9360877042009986
NL-007,43.794884899254335,62.879837562609865,11.827815278333407,0.9491936429839203
NL-008,48.67473399099992,69.61991051731725,11.10812494906567,0.9516984316507148
NL-009,37.13755107644299,52.25242595862001,10.63045198992356,0.9431201221753018
NL-010,50.510081968683494,74.35275105791564,11.545667685163142,0.944406576955232
NL-011,37.00947143904961,53.00650871366344,10.53037385491149,0.9556182140735837
NL-012,31.008101190154875,43.519161713653226,10.834584468786886,0.9422043216130116
NL-013,30.888779733588304,43.080358843228645,10.14995007926109,0.9509968770782624
NL-014,52.410281733030914,76.86792239778156,12.627554302960425,0.9463469062767633
NL-015,49.991163864849796,69.16712230997193,11.542870520704355,0.9373444332778604
NL-016,49.228254152321284,70.0312912150941,10.44921655583778,0.9475997520157289
NL-017,36.44181465214508,51.23779705022565,12.671505505329328,0.95094659979876
NL-018,31.592321135905415,43.79873401598481,11.424658402376098,0.9492599340300932
NL-019,59.91234064067843,82.89974471675076,12.063761988480264,0.9381736768376566
NL-020,32.55934463959395,46.73858156595662,11.822489569166281,0.9522112137269021
NL-021,41.67411608124327,59.311927520729114,11.435962033146128,0.9463376759012326
NL-022,40.19258328141837,56.29174072271695,13.181183172921504,0.949581116512835
NL-023,54.25417694004103,74.29566224782184,12.569570147376083,0.945447640426271
NL-024,41.71108927671937,58.65374109046233,12.834227505334994,0.9445772733138176
NL-025,36.96299050767589,53.85049287534012,11.033789934826975,0.9512965285299425
