loss,mae,val_loss,val_mae,road_id
0.26520222425460815,0.35927966237068176,0.08980400860309601,0.2207988053560257,NL-001
0.08827956020832062,0.21977733075618744,0.08046639710664749,0.2092498242855072,NL-001
0.07674262672662735,0.20342670381069183,0.06894626468420029,0.19319726526737213,NL-001
0.07274792343378067,0.1979866772890091,0.07739216834306717,0.19543391466140747,NL-001
0.06845603883266449,0.19100052118301392,0.0583057664334774,0.16786327958106995,NL-001
0.06642880290746689,0.18655334413051605,0.05947742611169815,0.16799332201480865,NL-001
0.06246596947312355,0.17950871586799622,0.058873020112514496,0.17025452852249146,NL-001
0.06209801882505417,0.18030202388763428,0.05613068491220474,0.16677257418632507,NL-001
0.06039337068796158,0.17704753577709198,0.0577174611389637,0.16668106615543365,NL-001
0.05811541527509689,0.17342497408390045,0.06363172084093094,0.1758589893579483,NL-001
0.05961470305919647,0.17382369935512543,0.05857471004128456,0.16761383414268494,NL-001
0.058189939707517624,0.17265960574150085,0.060150936245918274,0.1690749078989029,NL-001
0.054755326360464096,0.16733454167842865,0.059100668877363205,0.1703144609928131,NL-001
0.05507010221481323,0.16666537523269653,0.060666751116514206,0.17311930656433105,NL-001
0.054725080728530884,0.16654306650161743,0.058710336685180664,0.16890615224838257,NL-001
0.05483933538198471,0.16690567135810852,0.06065700575709343,0.17240817844867706,NL-001
0.25019535422325134,0.36214736104011536,0.07726094126701355,0.20956334471702576,NL-002
0.09007739275693893,0.22066229581832886,0.06423294544219971,0.1831061989068985,NL-002
0.07822562754154205,0.20525071024894714,0.06977151334285736,0.1936265081167221,NL-002
0.0731150284409523,0.19519098103046417,0.06044163927435875,0.18104411661624908,NL-002
0.0736195519566536,0.19567452371120453,0.06308548897504807,0.18044188618659973,NL-002
0.06644096970558167,0.1872551143169403,0.06230981647968292,0.1802506148815155,NL-002
0.0679764524102211,0.18592779338359833,0.05525921657681465,0.16921190917491913,NL-002
0.06410069018602371,0.18337789177894592,0.05841851979494095,0.17396053671836853,NL-002
0.062042899429798126,0.17921267449855804,0.05510428175330162,0.16904523968696594,NL-002
0.06141480430960655,0.17701974511146545,0.048852045089006424,0.15861596167087555,NL-002
0.05952451005578041,0.17332814633846283,0.05207131430506706,0.16478081047534943,NL-002
0.05729464814066887,0.1718677580356598,0.04888063296675682,0.15824581682682037,NL-002
0.060331325978040695,0.1730206161737442,0.05199666693806648,0.1654553860425949,NL-002
0.05701972544193268,0.17012950778007507,0.05631828308105469,0.16818395256996155,NL-002
0.05783628672361374,0.17091374099254608,0.05402371287345886,0.17270277440547943,NL-002
0.05701161175966263,0.1710302084684372,0.047936342656612396,0.1596498042345047,NL-002
0.057883039116859436,0.17104384303092957,0.04737189784646034,0.15573552250862122,NL-002
0.05531385540962219,0.16730421781539917,0.044872649013996124,0.1537608653306961,NL-002
0.054101355373859406,0.1657157689332962,0.05639947950839996,0.16677162051200867,NL-002
0.053528569638729095,0.16478553414344788,0.049393534660339355,0.1589951515197754,NL-002
0.054330017417669296,0.16723376512527466,0.05781779810786247,0.16814455389976501,NL-002
0.05400050804018974,0.1656092405319214,0.05087011307477951,0.15991246700286865,NL-002
0.053390052169561386,0.16516464948654175,0.0488688200712204,0.15905968844890594,NL-002
0.05351569876074791,0.16456849873065948,0.060173679143190384,0.1663624495267868,NL-002
0.05173281952738762,0.1621367186307907,0.05873606726527214,0.1682094782590866,NL-002
0.05291944369673729,0.16339752078056335,0.056927990168333054,0.16606126725673676,NL-002
0.22050896286964417,0.3347157835960388,0.11699292808771133,0.23854809999465942,NL-003
0.09633271396160126,0.22993557155132294,0.09384648501873016,0.21444164216518402,NL-003
0.08512302488088608,0.21492286026477814,0.08244983106851578,0.20085610449314117,NL-003
0.07972192764282227,0.20661137998104095,0.07327684015035629,0.1935407966375351,NL-003
0.07289424538612366,0.19812776148319244,0.07277176529169083,0.18896272778511047,NL-003
0.07266363501548767,0.19581592082977295,0.0766318142414093,0.18979233503341675,NL-003
0.07255061715841293,0.19612762331962585,0.07250721007585526,0.18645189702510834,NL-003
0.06940418481826782,0.19205942749977112,0.07136345654726028,0.18941666185855865,NL-003
0.069899782538414,0.1898067444562912,0.06616151332855225,0.1826946884393692,NL-003
0.06626639515161514,0.18529456853866577,0.0720716267824173,0.18590553104877472,NL-003
0.06367766857147217,0.182262122631073,0.07098554819822311,0.19191037118434906,NL-003
0.06509573757648468,0.18369384109973907,0.06811915338039398,0.1846098005771637,NL-003
0.0651615560054779,0.1839088797569275,0.07429145276546478,0.19269677996635437,NL-003
0.06236308813095093,0.18217632174491882,0.07156948745250702,0.1906377077102661,NL-003
0.06347067654132843,0.18045981228351593,0.06751909106969833,0.17887577414512634,NL-003
0.061198890209198,0.17853675782680511,0.068714439868927,0.179200679063797,NL-003
0.06324511766433716,0.18074467778205872,0.06762977689504623,0.18578758835792542,NL-003
0.265217125415802,0.3605770766735077,0.08663786947727203,0.22962474822998047,NL-004
0.08817557990550995,0.22035297751426697,0.06890759617090225,0.19554618000984192,NL-004
0.0809786319732666,0.20888285338878632,0.06567642837762833,0.19488884508609772,NL-004
0.0740799829363823,0.2004726082086563,0.06448538601398468,0.18480180203914642,NL-004
